Desc	Family ID	Hleu	Lpic	Lvar	Mglob	Pliv	Spurp_prefixed
(null)	OG0000602	2	3	2	3	2	20
(null)	OG0000603	2	5	6	3	3	13
(null)	OG0000604	8	7	9	3	2	3
(null)	OG0000605	3	4	4	4	3	14
(null)	OG0000606	3	5	6	11	3	4
(null)	OG0000607	3	8	6	4	3	8
(null)	OG0000608	2	11	6	2	3	8
(null)	OG0000609	1	10	12	2	2	5
(null)	OG0000610	1	8	14	1	3	5
(null)	OG0000611	1	12	7	2	7	3
(null)	OG0000612	2	0	0	6	3	21
(null)	OG0000613	2	5	9	5	5	6
(null)	OG0000614	1	4	4	9	9	5
(null)	OG0000615	1	9	5	1	13	3
(null)	OG0000616	1	1	1	2	26	1
(null)	OG0000617	0	10	11	5	1	5
(null)	OG0000618	0	4	8	1	6	13
(null)	OG0000619	0	5	7	2	12	6
(null)	OG0000620	0	8	2	1	20	1
(null)	OG0000621	0	0	0	2	0	30
(null)	OG0000622	4	10	6	3	1	7
(null)	OG0000623	26	1	1	1	1	1
(null)	OG0000624	5	4	9	4	4	5
(null)	OG0000625	2	7	11	5	3	3
(null)	OG0000626	4	4	4	5	3	11
(null)	OG0000627	9	1	1	6	11	3
(null)	OG0000628	6	6	5	1	7	6
(null)	OG0000629	2	7	11	2	2	7
(null)	OG0000630	4	2	19	1	2	3
(null)	OG0000631	5	5	7	4	4	6
(null)	OG0000632	1	2	10	1	4	13
(null)	OG0000633	5	4	7	4	4	7
(null)	OG0000634	9	5	2	3	5	7
(null)	OG0000635	3	9	5	6	3	5
(null)	OG0000636	1	7	8	1	1	13
(null)	OG0000637	3	0	8	0	5	15
(null)	OG0000638	1	2	2	17	5	4
(null)	OG0000639	1	7	9	1	1	12
(null)	OG0000640	31	0	0	0	0	0
(null)	OG0000641	1	2	7	1	2	18
(null)	OG0000642	1	13	7	1	1	8
(null)	OG0000643	1	22	4	1	1	2
(null)	OG0000644	1	1	13	1	2	13
(null)	OG0000645	2	6	6	5	7	5
(null)	OG0000646	1	6	12	4	3	5
(null)	OG0000647	0	5	7	7	4	8
(null)	OG0000648	0	6	6	5	2	12
(null)	OG0000649	0	2	4	2	4	19
(null)	OG0000650	0	30	1	0	0	0
(null)	OG0000651	0	0	0	6	23	2
(null)	OG0000652	30	0	0	0	0	0
(null)	OG0000653	30	0	0	0	0	0
(null)	OG0000654	1	4	8	1	4	12
(null)	OG0000655	30	0	0	0	0	0
(null)	OG0000656	25	1	1	1	1	1
(null)	OG0000657	1	11	8	1	1	8
(null)	OG0000658	7	2	2	9	4	6
(null)	OG0000659	7	8	4	3	5	3
(null)	OG0000660	10	3	3	6	3	5
(null)	OG0000661	6	4	3	2	8	7
(null)	OG0000662	30	0	0	0	0	0
