FamilyID	Hleu<1>	Mglob<2>	Pliv<3>	Spurp_prefixed<4>	Lvar<5>	Lpic<6>	<7>	<8>	<9>	<10>	<11>
OG0000211	0.274546	0.19666	4.89507e-26	0.808942	0.244394	0.244394	N/A	0.355273	0.237306	0.00225845	0.000154562
OG0000214	0.0870368	0.0173528	0.697834	1.07533e-06	0.844827	0.000920924	N/A	0.194535	0.237306	0.296693	0.31315
OG0000215	3.58683e-09	0.288294	0.0880733	0.5	0.5	0.5	N/A	2.7949e-07	0.563113	0.109067	0.5
OG0000216	0.702515	0.016179	0.0129915	0.00123105	0.356611	0.00462729	N/A	0.175716	0.157435	5.12485e-09	0.213156
OG0000217	0.0533247	0.341271	0.89709	0.135243	0.010846	0.801676	N/A	0.158347	0.501963	0.516277	0.011588
OG0000219	0.828638	0.065402	0.713596	7.21827e-09	0.253083	0.61459	N/A	0.534258	0.260908	0.0926809	0.353164
OG0000220	1.01571e-07	0.0495892	0.754149	0.00299933	0.00780732	0.662333	N/A	6.21924e-06	0.61454	0.631513	0.555133
OG0000221	0.83915	0.749658	0.396059	3.67666e-05	0.253083	0.405884	N/A	0.559361	0.808289	0.320239	0.71315
OG0000223	0.591537	0.00374439	5.03163e-36	0.61513	0.5	0.5	N/A	0.695175	0.127841	9.83063e-05	0.0429842
OG0000224	0.249636	0.0173528	0.697834	0.00959267	0.149723	0.253083	N/A	0.500634	0.237306	0.0798897	0.71315
OG0000225	0.69749	0.000156909	0.119513	1.15414e-06	0.00171286	0.00374479	N/A	0.923816	0.18558	8.39769e-05	0.735087
OG0000226	0.953742	0.386408	2.63724e-07	0.00071514	0.104054	0.00659774	N/A	0.829707	0.828341	6.07641e-06	0.621578
OG0000227	0.636237	0.341271	0.713596	0.000298563	8.05953e-05	0.869197	N/A	0.559361	0.808289	0.827431	0.0431776
OG0000228	0.749164	0.0239503	0.713596	0.0442248	0.0940336	0.05293	N/A	0.937041	0.260908	0.0926809	0.724544
OG0000229	0.761298	7.85506e-06	0.00414802	0.23488	0.0452517	0.833337	N/A	0.940131	0.143209	0.802523	0.672987
OG0000230	0.111978	0.000156909	0.461064	3.87524e-06	0.86236	4.18565e-11	N/A	0.240588	0.18558	0.243895	0.00219151
OG0000231	0.702515	0.0382863	0.00367497	5.39853e-11	0.036766	0.00486804	N/A	0.452587	0.127841	1.84299e-08	0.744854
OG0000233	8.89777e-05	0.237912	0.835893	5.40372e-08	0.0190357	0.712786	N/A	0.00251488	0.691387	0.713702	0.153592
OG0000234	0.0533338	0.405822	0.890258	0.00146151	0.833337	0.00379032	N/A	0.194535	0.781359	0.802523	0.672987
OG0000235	0.000525181	0.10632	0.856459	0.00237518	0.138502	0.138502	N/A	0.0114576	0.0410353	0.380619	6.895e-05
OG0000236	0.702515	0.016179	0.119513	0.000641206	8.24264e-08	8.67025e-05	N/A	0.175716	0.0534854	7.12409e-06	0.744854
OG0000237	0.555049	0.0512593	0.251587	4.70215e-17	7.23051e-07	0.833337	N/A	0.355273	0.237306	0.296693	0.0176836
OG0000239	0.702515	0.0382863	0.00367497	0.481463	0.309748	2.1542e-12	N/A	0.452587	0.127841	1.47554e-06	0.0576653
OG0000242	0.924894	0.00350824	0.194923	1.3478e-24	0.00659774	0.443432	N/A	0.423956	0.18558	0.243895	0.00072591
OG0000244	0.000330509	0.0611409	0.00367497	0.0405652	1.0951e-06	0.00056493	N/A	0.00499067	0.720163	0.182829	0.640174
OG0000245	0.315169	7.85506e-06	0.370456	0.156161	0.0290872	0.844827	N/A	0.218204	0.501963	0.816029	0.687469
OG0000247	0.718075	0.719361	0.0280004	0.11893	0.0309888	0.106639	N/A	0.789625	0.781359	0.0255983	0.0503145
OG0000248	0.315169	0.172967	0.0153739	0.880467	0.61459	0.000337163	N/A	0.218204	0.808289	0.320239	0.71315
OG0000249	0.274546	0.405822	0.0112354	9.04633e-05	0.875107	0.875107	N/A	0.355273	0.237306	0.00550402	0.735087
OG0000250	0.587684	0.405822	0.89709	1.90246e-12	0.00379032	0.833337	N/A	0.504463	0.237306	0.296693	0.0176836
OG0000252	0.000465768	0.016179	1.18707e-06	0.0297853	0.712786	0.712786	N/A	0.0115022	0.720163	0.0305137	0.579238
OG0000253	0.828638	0.405822	0.00414802	0.0364364	8.47962e-09	0.000151641	N/A	0.789625	0.781359	0.0255983	0.71315
OG0000255	0.113082	0.749658	0.90758	0.481463	0.273196	0.0940336	N/A	0.0854019	0.283066	0.342057	0.724544
OG0000257	0.718075	0.719361	0.143249	0.286278	0.00125919	0.869197	N/A	0.789625	0.781359	0.0673354	0.0431776
OG0000259	0.702515	0.237912	0.0212239	0.856178	0.23165	7.55004e-22	N/A	0.452587	0.691387	0.00044805	0.0297686
OG0000260	0.565365	0.065402	8.02271e-09	0.0115954	0.391468	0.0331965	N/A	0.937041	0.79586	0.154846	0.000476163
OG0000261	0.778084	0.00350824	5.14804e-18	5.09031e-06	0.13262	0.00056493	N/A	0.423956	0.0711367	0.134578	0.640174
OG0000262	0.227824	0.223199	0.541643	0.00319229	0.273196	0.869197	N/A	0.0937853	0.260908	0.0926809	0.724544
OG0000268	0.86428	0.176596	0.131355	0.23488	0.880274	1.96856e-13	N/A	0.339137	0.656672	2.12289e-05	3.92076e-07
OG0000269	0.702515	0.0382863	0.00367497	0.00548203	0.0790073	0.478224	N/A	0.452587	0.127841	1.84299e-08	0.190152
OG0000270	0.86428	0.444951	0.754149	0.378791	2.91321e-43	0.00343545	N/A	0.562047	0.61454	0.0762739	0.0437468
OG0000273	0.0100193	0.00636321	0.0047005	0.828909	0.06613	4.99575e-05	N/A	0.117322	0.764321	0.458812	0.640174
OG0000274	0.815768	0.0512593	0.166208	0.0124462	0.273196	0.165929	N/A	0.504463	0.237306	0.033	0.724544
OG0000278	0.000465768	0.016179	0.230456	0.277165	0.230078	0.443432	N/A	0.0115022	0.720163	0.743034	0.621578
OG0000279	0.614193	0.315004	0.370456	0.261615	0.000620766	0.596054	N/A	0.534258	0.79586	0.816029	0.127469
OG0000280	0.00320922	0.237912	0.546276	4.81284e-18	0.138502	0.138502	N/A	0.0527273	0.691387	0.713702	6.895e-05
OG0000281	0.587684	0.43415	0.370456	0.461429	0.000898802	0.0445603	N/A	0.298613	0.79586	0.0798897	0.71315
OG0000283	3.00442e-05	0.237912	0.097274	0.289932	0.662333	0.244394	N/A	0.00154897	0.691387	0.0200243	0.555133
OG0000286	0.458033	0.19666	0.679184	9.32806e-07	0.330946	7.23051e-07	N/A	0.933421	0.781359	0.271286	0.291027
OG0000287	0.69749	0.699454	0.309154	1.08263e-07	0.833337	0.549891	N/A	0.774271	0.764321	0.243895	0.672987
OG0000290	6.22514e-05	0.176596	0.481232	4.72988e-06	0.0190357	0.712786	N/A	0.00430581	0.656672	0.67724	0.579238
OG0000291	0.0050012	0.642802	0.035822	0.019519	0.034395	0.300595	N/A	0.0648572	0.720163	0.182829	0.0865612
OG0000292	7.01433e-07	0.700735	0.665597	0.61513	0.593963	0.593963	N/A	1.38145e-05	0.563113	0.57369	0.528799
OG0000293	0.0190302	0.0260976	0.0526553	0.0551772	0.0825522	0.159217	N/A	0.103198	0.744167	0.214426	0.657264
OG0000294	0.111978	0.00350824	0.656669	0.0166185	1.48402e-08	2.06454e-06	N/A	0.240588	0.18558	0.243895	0.672987
OG0000295	1.35158e-07	0.288294	0.0880733	0.5	0.5	0.5	N/A	1.38145e-05	0.563113	0.109067	0.5
