TID	tubefeet3_kq	spine1_kq	ovary3_kq	gut1_kq
MGLB00820.1	23.5654	20.1045	3.94527	30.2476
MGLB00529.1	9.41928	24.4215	3.22812	16.5885
MGLB00529.2	0.634095	0.227313	0.0	0.480256
MGLB00856.1	14.0663	20.3757	3.44216	74.3846
MGLB00417.1	2.23976	21.5899	3.50089	122.76
MGLB00609.1	30.5075	44.2564	0.0	85.0878
MGLB00906.1	0.0	17.0682	16.7409	32.6137
MGLB00602.1	2.70008	9.10476	0.0623526	1.56689
MGLB01001.1	53.5511	37.6879	10.8504	47.1973
MGLB00583.1	8.56604	16.985	1.99963	43.1139
MGLB00343.1	2.23768	1.24688	1.28416	0.341337
MGLB00534.1	7.35885	32.947	0.0	35.6813
MGLB00852.1	8.27057	25.6586	4.34791	14.7528
MGLB00420.1	0.128305	0.0	0.0	0.0
MGLB00420.2	0.311804	0.197053	0.0	1.0154
MGLB00610.1	0.0	5.14764	0.0	35.164
MGLB00909.1	0.0	8.57476	0.0	30.9569
MGLB00996.2	0.243862	0.672005	0.179099	1.76078
MGLB00996.1	0.0	0.0	0.0	0.355436
MGLB00578.1	5.90768	8.11262	2.43713	24.6886
MGLB00578.2	0.0	0.0	0.0	0.381885
MGLB00572.1	1.01005	4.84823	0.179722	21.78
MGLB00933.2	0.0	0.159676	0.0	0.0
MGLB00933.1	0.0	0.0	0.0	0.68533
MGLB00705.1	0.0	0.0	0.143982	0.0
MGLB00705.3	0.0	2.1778	0.143982	4.0455
MGLB00705.2	1.59176	0.0	0.0	10.1761
MGLB01082.1	233.849	406.944	49.2248	230.263
MGLB00729.1	270.318	526.98	126.335	444.26
